EmpID,Name,Dept,Salary,JoiningDate,PerformanceScore
1,David Jr.,HR,65322.17,invalid_date,2.0
2,Grace Jr.,IT,92001.43,2021-07-01,3.0
3,Grace,HR,34850.87,invalid_date,4.0
4,Charlie,Finance,119854.67,invalid_date,1.0
5,Grace,Marketing,62651.96,2019-05-23,3.0
6,David Sr.,Finance,73611.7,2019-05-23,3.0
7,David,IT,97195.65,2021-07-01,4.0
8,Eve Sr.,Marketing,56362.49,invalid_date,1.0
9,Charlie Jr.,,60040.34,2019-05-23,
10,David,IT,108273.67,2019-05-23,4.0
11,Eve Sr.,Sales,108543.25,2021-07-01,3.0
12,David Sr.,Sales,45947.04,2020-01-15,3.0
13,Charlie III,HR,59814.37,invalid_date,5.0
14,Grace,Finance,110905.12,2021-07-01,
15,Bob III,Sales,107604.48,invalid_date,3.0
16,Grace,Marketing,82746.82,2021-07-01,2.0
17,Alice,IT,50545.42,2020-01-15,2.0
18,Eve III,Sales,58639.5,,3.0
19,David,IT,103290.27,2020-01-15,4.0
20,Frank,Finance,40566.06,2021-07-01,10.0
21,Grace III,,39107.32,2021-07-01,2.0
22,Eve Sr.,Marketing,42479.77,2021-07-01,
23,Frank III,Marketing,92540.58,2021-07-01,2.0
24,Bob,Marketing,104146.75,2019-05-23,1.0
25,Frank Jr.,Sales,94416.11,invalid_date,3.0
26,Eve,Marketing,60948.71,2019-05-23,2.0
27,Eve Jr.,Finance,30210.85,2020-01-15,1.0
28,Charlie III,Marketing,84574.93,2019-05-23,
29,Charlie III,Sales,32955.29,2019-05-23,4.0
30,Bob Sr.,Finance,35888.05,2019-05-23,2.0
31,Alice,Finance,34881.43,2018-03-12,2.0
32,Alice,IT,80264.64,2021-07-01,10.0
33,Bob Sr.,Marketing,38170.39,2019-05-23,2.0
34,David,,111418.68,2018-03-12,4.0
35,Eve III,Finance,37905.83,2019-05-23,10.0
36,Grace Jr.,Marketing,103348.75,2020-01-15,5.0
37,Alice Jr.,Finance,118235.59,2021-07-01,
38,Grace Sr.,Sales,77017.35,2018-03-12,1.0
39,David,HR,118416.05,,2.0
40,Alice Sr.,HR,113899.39,invalid_date,10.0
41,David Jr.,,89676.66,2020-01-15,10.0
42,David,,59117.56,,10.0
43,Eve Jr.,HR,40766.51,2021-07-01,
44,Charlie III,Sales,56562.33,2020-01-15,4.0
45,Bob Jr.,,68091.52,2020-01-15,5.0
46,David Jr.,Sales,119213.89,2021-07-01,1.0
47,Frank Jr.,,39701.44,,3.0
48,David,HR,110276.12,2018-03-12,5.0
49,Eve Jr.,HR,80863.31,,3.0
50,Charlie,IT,59939.99,2021-07-01,2.0
51,Bob,,35995.58,2019-05-23,2.0
52,Charlie Sr.,HR,85179.73,,3.0
53,David,HR,60924.92,2019-05-23,4.0
54,David,,103030.38,2018-03-12,3.0
55,Alice,HR,80861.2,2019-05-23,3.0
56,Alice,Finance,73244.04,,5.0
57,Frank Sr.,,52580.16,2018-03-12,
58,Bob,HR,118775.79,invalid_date,1.0
59,Charlie Sr.,Finance,85224.0,2021-07-01,2.0
60,Eve Jr.,HR,111250.23,2019-05-23,
61,David Sr.,HR,45560.15,2018-03-12,2.0
62,David Jr.,HR,117297.28,,2.0
63,David Sr.,Marketing,65743.84,2019-05-23,10.0
64,Alice,Marketing,33217.26,2018-03-12,5.0
65,Alice III,Sales,44663.56,2020-01-15,3.0
66,Grace,HR,59291.67,2019-05-23,4.0
67,Charlie,Finance,59603.84,2021-07-01,4.0
68,Alice Sr.,HR,32483.67,2020-01-15,1.0
69,Eve,Sales,63088.1,2020-01-15,3.0
70,David Jr.,IT,105147.15,2019-05-23,2.0
71,David Sr.,Finance,62686.07,2018-03-12,2.0
72,David Jr.,Finance,81551.19,2018-03-12,10.0
73,Eve Jr.,Finance,97326.83,2020-01-15,10.0
74,David,,81107.89,2019-05-23,1.0
75,Frank Jr.,Finance,99632.37,,10.0
76,Frank Sr.,,63869.03,,3.0
77,Frank,Sales,102251.59,2020-01-15,10.0
78,Frank Jr.,,108940.38,2018-03-12,4.0
79,Grace,,34431.97,2021-07-01,5.0
80,Charlie,,90451.45,invalid_date,2.0
81,Eve Sr.,IT,35351.28,2021-07-01,4.0
82,Frank III,HR,62838.43,2018-03-12,10.0
83,Alice Sr.,Sales,114901.28,,2.0
84,David,HR,33968.19,2021-07-01,
85,David Jr.,,94643.83,2018-03-12,1.0
86,Bob Jr.,,86996.96,2018-03-12,3.0
87,David III,Marketing,,2021-07-01,2.0
88,Bob,Sales,32636.6,2021-07-01,
89,Grace,IT,47499.2,2018-03-12,1.0
90,Bob Sr.,,,2021-07-01,4.0
91,Eve Jr.,IT,110059.52,2020-01-15,1.0
92,Charlie,Marketing,83585.67,2019-05-23,
93,David III,IT,,2021-07-01,
94,Alice Sr.,Finance,74141.57,invalid_date,4.0
95,Eve III,Finance,117275.02,invalid_date,1.0
96,Alice,Sales,,,4.0
97,Frank,IT,96240.51,,3.0
98,David Jr.,,97217.15,2018-03-12,5.0
99,David,Sales,81214.0,2021-07-01,2.0
100,Alice III,Sales,64280.61,2018-03-12,2.0
101,Bob III,Marketing,97575.69,,4.0
102,Alice III,,111289.02,2018-03-12,1.0
103,Charlie,,44711.23,2018-03-12,10.0
104,David,IT,,,10.0
105,Grace,IT,34175.75,2021-07-01,10.0
106,Bob III,Finance,93021.17,2020-01-15,2.0
107,Eve Jr.,IT,,invalid_date,5.0
108,Frank,Marketing,115583.92,2021-07-01,
109,David,,96969.16,2018-03-12,
110,Eve III,Marketing,73644.66,2018-03-12,5.0
111,Bob,Finance,85122.87,2021-07-01,1.0
112,Eve III,,73646.94,2019-05-23,2.0
113,David Sr.,,,2019-05-23,
114,David,,58464.82,2021-07-01,
115,Alice III,IT,101890.84,2019-05-23,1.0
116,Charlie Sr.,,60846.03,2019-05-23,
117,Eve Jr.,Sales,31686.44,2020-01-15,5.0
118,Charlie III,,116018.27,invalid_date,4.0
119,Bob III,IT,34577.37,2019-05-23,
120,Grace Jr.,Sales,62365.55,,4.0
121,Bob III,IT,76617.81,2020-01-15,3.0
122,Charlie,Finance,87196.85,2018-03-12,2.0
123,David III,,,2021-07-01,1.0
124,Bob III,,,,5.0
125,Alice Sr.,IT,68474.77,2020-01-15,4.0
126,Eve,Finance,55752.19,,10.0
127,Alice,IT,,2021-07-01,10.0
128,Alice,Finance,108586.93,2018-03-12,3.0
129,Bob Jr.,IT,78774.29,invalid_date,1.0
130,Grace Jr.,Marketing,50126.86,2018-03-12,
131,Bob,IT,79618.36,2019-05-23,1.0
132,Grace Sr.,HR,60976.86,,10.0
133,Grace III,Sales,37958.59,,1.0
134,Eve Sr.,,42435.77,2021-07-01,4.0
135,David,IT,93252.26,invalid_date,1.0
136,Grace Sr.,IT,51637.36,,2.0
137,Alice III,,116455.74,2021-07-01,4.0
138,Eve III,Marketing,68381.74,2020-01-15,10.0
139,Bob Jr.,Finance,104425.41,2019-05-23,
140,Alice Sr.,HR,63516.24,2021-07-01,
141,Charlie,Sales,119795.84,2018-03-12,1.0
142,Bob Jr.,HR,61887.78,2018-03-12,1.0
143,Alice,HR,89889.26,2018-03-12,1.0
144,Frank,HR,,2018-03-12,10.0
145,David Jr.,Marketing,85463.88,,2.0
146,David Sr.,Sales,,invalid_date,
147,Charlie III,Sales,62930.15,2020-01-15,4.0
148,David III,Sales,65345.9,invalid_date,4.0
149,David Sr.,,118805.36,2019-05-23,1.0
150,Eve III,IT,30996.65,invalid_date,1.0
151,Charlie,Marketing,104860.79,2020-01-15,3.0
152,Alice,Finance,98633.12,invalid_date,4.0
153,Frank Sr.,IT,69905.42,2021-07-01,2.0
154,David,Marketing,34629.27,2019-05-23,
155,Bob,HR,72191.54,,2.0
156,Alice III,,100292.25,2019-05-23,10.0
157,Bob III,HR,113100.69,2018-03-12,10.0
158,Charlie,HR,43322.7,invalid_date,4.0
159,David Jr.,Sales,108631.97,,1.0
160,Bob,HR,60328.38,2018-03-12,5.0
161,Alice Sr.,,111777.78,invalid_date,4.0
162,David Jr.,IT,83322.77,,1.0
163,Bob,HR,67354.72,,3.0
164,Frank III,HR,,2018-03-12,3.0
165,Charlie III,HR,104447.36,2019-05-23,
166,Bob Sr.,Sales,40381.64,,3.0
167,Grace Jr.,Sales,94745.25,2018-03-12,1.0
168,David,IT,55591.52,2019-05-23,4.0
169,David Jr.,HR,78854.04,2019-05-23,
170,Alice,Sales,40041.01,2018-03-12,10.0
171,David,IT,37903.94,2020-01-15,4.0
172,Charlie Sr.,,30590.98,2021-07-01,2.0
173,Charlie Jr.,Marketing,83956.64,invalid_date,3.0
174,Alice,IT,87070.14,2019-05-23,3.0
175,Bob Sr.,IT,67888.47,invalid_date,3.0
176,Bob Jr.,Finance,74242.33,invalid_date,10.0
177,Grace Jr.,HR,41808.01,2019-05-23,10.0
178,Grace,,87899.71,2020-01-15,10.0
179,Eve Jr.,Sales,60007.04,2020-01-15,5.0
180,Charlie,IT,67864.34,invalid_date,
181,Grace,Finance,85669.95,invalid_date,1.0
182,Charlie Sr.,HR,46891.07,2018-03-12,
183,Grace Jr.,,102332.71,2019-05-23,3.0
184,Grace,,81045.96,2020-01-15,
185,Charlie Sr.,Finance,80713.45,,10.0
186,Bob Sr.,,79171.55,invalid_date,5.0
187,Alice Sr.,,100389.2,2019-05-23,4.0
188,Bob Jr.,Marketing,91882.9,2020-01-15,4.0
189,Frank,IT,102387.76,2018-03-12,5.0
190,Grace III,,91559.74,,1.0
191,Charlie Sr.,HR,43516.75,2018-03-12,4.0
192,Grace Sr.,Finance,110249.89,2019-05-23,5.0
193,Frank Jr.,HR,88057.15,2021-07-01,3.0
194,Frank,Finance,99975.2,2020-01-15,10.0
195,Frank,Marketing,34406.2,2021-07-01,3.0
196,Charlie Sr.,Sales,34159.48,,4.0
197,Frank Jr.,Finance,37441.99,2020-01-15,3.0
198,Charlie III,Sales,111798.51,2020-01-15,1.0
199,Alice,,81675.09,2019-05-23,10.0
200,Bob Sr.,Sales,116105.15,invalid_date,3.0
201,Grace Jr.,Marketing,,,2.0
202,Frank,Finance,58217.69,,2.0
203,Grace Sr.,IT,,2020-01-15,3.0
204,Alice III,,52932.82,2019-05-23,10.0
205,Bob Sr.,HR,49776.7,2018-03-12,
206,Frank III,Finance,45851.19,2018-03-12,10.0
207,Alice,Finance,56505.1,2019-05-23,5.0
208,David III,Marketing,,2019-05-23,4.0
209,Frank III,,71176.7,2020-01-15,4.0
210,Eve Jr.,Marketing,45487.16,2021-07-01,5.0
211,Eve III,IT,96658.05,2018-03-12,10.0
212,Alice,Sales,45535.1,2018-03-12,2.0
213,Eve III,Marketing,115942.74,,1.0
214,Grace Jr.,,49233.83,invalid_date,10.0
215,Grace,HR,107501.31,,3.0
216,Frank Jr.,Finance,54459.89,2021-07-01,
217,Eve,HR,31246.34,2019-05-23,
218,David,Finance,68141.42,,1.0
219,David Jr.,Marketing,65283.77,2019-05-23,5.0
220,Frank Jr.,Sales,47566.27,invalid_date,2.0
221,Frank,Marketing,90833.28,,
222,Eve Jr.,Sales,55592.09,2018-03-12,10.0
223,Frank III,Sales,76297.21,2019-05-23,5.0
224,Bob Jr.,,100864.47,invalid_date,2.0
225,Charlie,,70843.56,,
226,David III,HR,59459.24,,4.0
227,Charlie Sr.,HR,78595.36,,1.0
228,David Sr.,Marketing,105072.42,invalid_date,1.0
229,Grace,,,2021-07-01,
230,Charlie III,Finance,108744.98,2021-07-01,10.0
231,Frank Sr.,Sales,108629.37,2019-05-23,
232,Eve,Sales,59483.72,invalid_date,3.0
233,Eve Sr.,Sales,97806.36,2019-05-23,5.0
234,Eve,Sales,117717.81,2021-07-01,
235,Eve III,,53350.5,2018-03-12,1.0
236,Alice,HR,74373.49,2019-05-23,2.0
237,Frank,Sales,39354.5,2018-03-12,10.0
238,Charlie III,Marketing,34104.69,2021-07-01,
239,David Sr.,HR,65456.68,2021-07-01,
240,Alice,IT,84919.3,2020-01-15,10.0
241,David Jr.,Marketing,110407.03,2020-01-15,1.0
242,Grace,HR,48777.66,2021-07-01,3.0
243,Charlie III,Finance,92619.23,2018-03-12,4.0
244,Frank Sr.,Finance,101943.58,invalid_date,
245,Alice Jr.,IT,80175.79,2019-05-23,3.0
246,David Jr.,,78869.37,2018-03-12,10.0
247,Charlie III,Sales,70145.54,2021-07-01,4.0
248,Bob,HR,97530.35,2021-07-01,3.0
249,Bob Sr.,HR,64489.56,2021-07-01,10.0
250,Charlie Sr.,HR,35525.64,,5.0
251,Frank,,68362.68,invalid_date,2.0
252,David Jr.,HR,111730.12,,1.0
253,Alice Jr.,Finance,64826.67,2019-05-23,5.0
254,Grace,Marketing,67771.41,2021-07-01,10.0
255,Frank,,91072.8,2018-03-12,
256,Grace Sr.,Finance,81101.78,2021-07-01,10.0
257,Alice Jr.,HR,74525.91,2020-01-15,3.0
258,David Jr.,IT,59137.48,2020-01-15,5.0
259,Charlie Jr.,IT,35927.97,2018-03-12,
260,Alice III,HR,62217.05,2019-05-23,10.0
261,Frank Sr.,HR,94620.08,2021-07-01,
262,Alice Jr.,Marketing,63507.58,2018-03-12,5.0
263,Grace Jr.,,,2019-05-23,2.0
264,Bob,HR,46562.69,,10.0
265,David Jr.,,52304.45,2020-01-15,1.0
266,David Jr.,HR,81385.93,2019-05-23,4.0
267,Grace Sr.,Marketing,87023.09,,10.0
268,David Sr.,Sales,34552.42,2020-01-15,
269,Eve Jr.,,41647.85,2018-03-12,1.0
270,Frank Jr.,Finance,64515.86,,4.0
271,Bob,,77644.1,,3.0
272,Eve,Marketing,,2020-01-15,5.0
273,Grace Sr.,HR,91195.35,2018-03-12,4.0
274,David III,HR,72211.39,,4.0
275,David,,34027.79,2018-03-12,2.0
276,Grace,Marketing,32098.37,2019-05-23,2.0
277,Charlie,IT,39396.51,2020-01-15,1.0
278,Alice III,Finance,68324.04,invalid_date,10.0
279,Charlie III,HR,65385.2,2020-01-15,5.0
280,Frank,Marketing,44191.3,invalid_date,4.0
281,Frank III,Sales,114532.63,,2.0
282,Alice III,,98537.1,,5.0
283,Grace Jr.,IT,,2021-07-01,10.0
